"Title","Places","Image","Location","Time","Info"
"List of World Heritage Sites in India","Ajanta Caves","https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Ajanta_%2863%29.jpg/100px-Ajanta_%2863%29.jpg","Maharashtra, India","2nd century BC to the 6th century","The Ajanta Caves are Buddhist caves built in two phases. The first, was from the 2nd century BC. The second, further additions were made during the 5th and 6th centuries AD of the Gupta period. The caves depict richly decorated fresco paintings, reminiscent of the Sigiriya paintings and sculptures in Sri Lanka. There are 31 rock-cut cave monuments which are unique representations of the religious art of Buddhism.[7][8][9]"
"List of World Heritage Sites in India","Ellora Caves","https://upload.wikimedia.org/wikipedia/commons/thumb/8/87/Kailasha_temple_at_ellora.JPG/100px-Kailasha_temple_at_ellora.JPG","Maharashtra, India","600 to 1000 AD","The Ellora Caves, also known as the Ellora Complex, are a cultural mix of religious arts of Buddhism, Hinduism and Jainism. 34 monasteries and temples sculpted contiguously into rock walls of a high basalt cliff are seen along a length of 2 kilometres (1.2 mi). Dated to 600 to 1000 AD, they are a reflection of artistic creation of the ancient civilization of India.[10]"
"List of World Heritage Sites in India","Agra Fort","https://upload.wikimedia.org/wikipedia/en/thumb/7/71/Uttar-Pradesh-Agra-Agra-Fort-Jahangiri-mahal-Apr-2004-00.JPG/100px-Uttar-Pradesh-Agra-Agra-Fort-Jahangiri-mahal-Apr-2004-00.JPG","Uttar Pradesh, India","16th century","The Agra Fort, also known as the Red Fort of Agra, represents Mughal opulence and power as the center piece of their empire. It was inscribed in the UNESCO World Heritage List in 1982, under Category iii as a cultural monument. The fortress is located on the right bank of the Yamuna River, built in red sandstone, covering a length of 2.5 kilometres (1.6 mi). It is surrounded by a moat which encloses several palaces, towers, and mosques. They were built from the 16th century onward until the early 18th century. This corresponds to Emperor Akbar's reign in the 16th century to that of Aurangzeb in the early part of the 18th century, including the contributions made during the reign of Jahangir and Shahjahan of the Moghul Rule in India. The impressive structures built within the precincts of the fort are the Khas Mahal, the Shish Mahal, Muhamman Burje (an octagonal tower), Diwan-i-Khas (1637), Diwan-i-Am, white marble mosque or the Pearl Mosque (built during 1646–1653) and the Nagina Masjid (1658–1707). These monuments are remarkable for the fusion of Persian art of the Timurid and Indian art forms. It is near the famous Taj Mahal, with a buffer zone separating the two monuments.[11][12]"
"List of World Heritage Sites in India","Taj Mahal","https://upload.wikimedia.org/wikipedia/commons/thumb/7/7e/Taj_Mahal_at_sunrise%2C_Agra.jpg/100px-Taj_Mahal_at_sunrise%2C_Agra.jpg","Uttar Pradesh, India","17th century","The Taj Mahal, one of the Seven Wonders of the World, is a mausoleum — a funerary mosque. It was built by Emperor Shahjahan in memory of his third wife Begum Mumtaz Mahal who had died in 1631. It is a large edifice made in white marble in typical Mughal architecture, a style that combines elements from Persian, Islamic, and Indian architectural styles. This much acclaimed masterpiece was built over a 16-year period between 1631 and 1648 under the Chief Architect Ustad Ahmad Lahauri supported by several thousand artisans under the guidance of an Imperial Committee. It was inscribed in the UNESCO World Heritage List in 1983, under Category i, as a cultural property/monument. It is set amidst the vast Mughal Gardens, which cover 17 hectares (42 acres) of land on the right bank of the Yamuna River. It has an octagonal layout marked by four exclusive minarets at four corners with a pristine elevation of a central bulbous dome below which the tombs are laid in an underground chamber. Calligraphic inscriptions in-crusted in polychromatic pierra dura, decorative bands and floral arabesques glorify the monument's graphic beauty and provide a picture perfect impression to the viewers.[13][14]"
"List of World Heritage Sites in India","Sun Temple, Konârak","https://upload.wikimedia.org/wikipedia/commons/thumb/b/b8/Konark_Sun_Temple_Front_view.jpg/100px-Konark_Sun_Temple_Front_view.jpg","Puri District, Odisha, India","13th-century","The Konark Sun Temple is a 13th-century Sun Temple (also known as the ""Black Pagoda""), at Konark, in Odisha. Located on the east coast of the Bay of Bengal in the Mahanadi Delta, it is built in the form of the chariot of Surya (Arka), the sun god with 24 wheels, and is heavily decorated with symbolic stone carvings and led by a team of six horses. It was constructed from oxidizing weathered ferruginous-coloured sandstone by King Narasimhadeva I of the Eastern Ganga Dynasty. The temple is one of the most renowned temples in India and is a World Heritage site inscribed in 1984 as a cultural property under categories (i), (iii) and (vi).[15][16]"
"List of World Heritage Sites in India","Group of Monuments at Mahabalipuram","https://upload.wikimedia.org/wikipedia/commons/thumb/c/c6/Mamallapuram-april2008.jpg/100px-Mamallapuram-april2008.jpg","Mahabalipuram, Tamil Nadu, India","7th and 8th centuries","The Group of Monuments at Mahabalipuram, in Tamil Nadu, about 58 km (36 mi) from Chennai, were built by the Pallava kings in the 7th and 8th centuries. The town has gained prominence under the rule of Mamalla. These monuments have been carved out of rock along the Coromandel coast. The temple town has approximately forty monuments, including the largest open-air bas-relief in the world. It was inscribed under the UNESCO World Heritage list in 1984 as a cultural heritage under categories (i)(ii)(iii)(vi). The monuments inscribed are the Ratha Temples: Temples in the form of chariots, Mandapas, 11 Cave sanctuaries covered with bas-reliefs, rock relief of Descent of the Ganges, which is the largest open air Rock relief also known as Arjuna's Penance or Bhagiratha's Penance.[17][18]"
"List of World Heritage Sites in India","Kaziranga National Park","https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Kazi_rhino_edit.jpg/100px-Kazi_rhino_edit.jpg","Assam, India","20th century","Kaziranga, located in the Northeastern state of Assam in the flood plains of the Brahmaputra River's south bank, was declared a World Heritage site by UNESCO in 1985 for its unique natural environment. It was first established as a reserved forest in 1908 to protect the dwindling numbers of rhinoceros. It underwent several transformations over the years, as The Kaziranga Game Sanctuary in 1916, renamed Kaziranga Wildlife Sanctuary in 1950, and declared a national park in 1974. The park, which covers an area of 42,996 hectares (106,250 acres), has the distinction of being home to the largest population of the great Indian one-horned rhinoceros. There are many other mammals and birds species in the sanctuary.[19][20][21]"
"List of World Heritage Sites in India","Manas Wildlife Sanctuary","https://upload.wikimedia.org/wikipedia/commons/thumb/0/0c/Capped_langur_in_manas.jpg/100px-Capped_langur_in_manas.jpg","Assam, India","20th century","The Manas Wildlife Sanctuary, located in the northeastern state of Assam covers an area of 50,000 hectares (120,000 acres) in the plains of the Manas River in the foot hills of the Himalayas, on the border with Bhutan (contiguous with the Manas Wildlife Sanctuary in Bhutan). It was inscribed as a World Heritage site by UNESCO in 1985 for its unique natural environment. The sanctuary is the habitat of several species of plants, 21 most-threatened species of mammals (out of 55 mammal species in the sanctuary), 36 reptile species, three amphibians and 350 species of birds. Endangered species include: the tiger, pygmy hog, clouded leopard, sloth bear, Indian rhinoceros, wild buffaloes (the only pure strain of buffalo in India), Indian elephants, golden langur and Bengal florican. In 1907, it was declared a reserve forest, a sanctuary in 1928, and became a tiger reserve in 1973 as part of ""Project Tiger"" and a World Heritage site in December 1985. Plants listed under the broad category of Burma Monsoon Forests include 285 species of Dicotyledons and 98 species of Monocotyledons. Since 1992, the sanctuary was listed under ""The World Heritage in Danger""|,[22][23][24] but removed in 2011 after significant conservation efforts."
"List of World Heritage Sites in India","Keoladeo National Park","https://upload.wikimedia.org/wikipedia/commons/thumb/c/cf/Sarus_Crane%2C_Keoladeo_National_Park.jpg/100px-Sarus_Crane%2C_Keoladeo_National_Park.jpg","Bharatpur, Rajasthan, India","1981","The Keoladeo National Park in Bharatpur is located within the Indus-Ganges Monsoon Forest Biogeographical Province. It extends over an area of 2,783 hectares (6,880 acres). It was declared a national park in 1982. In 1900 it was a duck-hunting reserve of the Maharajasof Bharatpur, then became a bird sanctuary in 1956, with the Maharajas exercising shooting rights until 1972. It was recorded as a Ramsar Wetland site in 1981. It was inscribed in the UNESCO World Heritage List in 1985 under category (x), as a natural property. The area of the wetland of the park shrinks to 1,000 hectares (2,500 acres) during most of the year. It has a human-built environment created partly by embankments dividing the area into 10 units, and has a sluice controlled arrangement to maintain the water level. It is famous for 364 species of wintering birds that flock in large numbers, arriving from distant countries of Afghanistan, Turkmenistan, China and Siberia. It is surrounded by 17 villages and Bharatpur city.[25][26]"
"List of World Heritage Sites in India","Churches and Convents of Goa","https://upload.wikimedia.org/wikipedia/commons/thumb/2/21/Bom_jesus.jpg/100px-Bom_jesus.jpg","Velha Goa (Old Goa), Goa, India","16th and 18th centuries","The Churches and Convents of Goa are monuments inscribed by UNESCO under the World Heritage List in 1986 as cultural property, under criteria (ii),(iv) and (vi), which were built by the Portuguese colonial rulers of Goa between the 16th and 18th centuries. These monuments are mainly in the former capital of Velha Goa. Velha Goa is also known as Goem, Pornem Gõy, Adlem Gõi, Old Goa or Saibachem Gõi, where Saib or Goencho Saib refers to Saint Francis Xavier. The most significant of these monuments is the Basilica of Bom Jesus, which enshrines the tomb containing the relics of St. Francis Xavier. These monuments of Goa, known as the ""Rome of the Orient"", were established by different Catholic religious orders, from November 25, 1510 onward. There were originally 60 churches of which some of the surviving monuments in the city of Velha Goa are: the Saint Catherine's Chapel (where one of the first, probably only besides the Angediva Island, Latin rite mass in Asia, was held on Saint Catherine's feast day, November 25, 1510); the Church and Convent of Saint Francis of Assisi; the Sé Catedral de Santa Catarina dedicated to Saint Catherine of Alexandria; the Jesuit Borea Jezuchi Bajilika or Basílica do Bom Jesus; Igreja de São Francisco de Assis (also known as Asisachea Sanv Fransiskachi Igorz); the Theatine Igreja da Divina Providência (São Caetano) (also known as San Kaitanachi Igorz or the church of Saint Cajetan and its seminary (resembles Basilica Papale di San Pietro in Vaticano); Igreja de Nossa Senhora do Rosário (also known as Ruzai Saibinnichi Igorz (Church of Our Lady of the Rosary)) and Igreja de Santo Agostinho (also known as Sanv Agustineachi Igorz (Church of Saint Augustine) (only the belfry stands today and some graves, including the Georgian Orthodox Church Saint, Saint Ketevan, who was also a queen). These monuments were forerunners in establishing an ensemble of the Manueline, Mannerist and Baroque art forms in the Asian region. The monuments are built in laterites and the walls are plastered with limestone mortar mixed with broken shells. For this reason, the monuments need constant maintenance to prevent deterioration due to monsoon climatic conditions.[27][28]"
